UPC_CODE,item_id,item_name,leg_loc_id,brand_id,brand_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten,usda_fields
611269182460,54eee6c69ad372c3623afd4b,"Energy Drink, Blueberry Blue Edition",,51db37cb176fe9790a899957,Red Bull,,2021-02-10T13:55:37.000Z,"CARBONATED WATER, SUCROSE, GLUCOSE, CITRIC ACID, TAURINE, SODIUM BICARBONATE, MAGNESIUM CARBONATE, CAFFEINE, NIACINAMIDE, CALCIUM PANTOTHENATE, PYRIDOXINE HCL, VITAMIN B12, NATURAL AND ARTIFICIAL FLAVORS, COLORS, BLUE 1.",,160,,0,,,,,,140,41,,38,0,,,0,0,,,1,can,,,,,,,,,,,
611269174526,54e77da98b24f17f69eb4cf1,"Energy Drink, Cranberry",,51db37cb176fe9790a899957,Red Bull,,2018-12-03T05:28:29.000Z,"Carbonated Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Citrate, Magnesium Carbonate, Caffeine, Niacinamide, Calcium Pantothenate, Pyridoxine HCI, Vitamin B12, Natural and Artificial Flavors, Colors.",,160,0,0,,,,,,150,41,,38,0.5,,,,,,,1,can,,,,,,,,,,,
018944000048,59019a01a5971fd50f6c8efc,"Hazelnuts, Milked",,58e1f415e11faad331fd19db,Elmhurst,,2018-07-11T14:34:58.000Z,"Filtered Water, Hazelnuts, Cane Sugar, Almonds, Natural Flavors, Salt.",,140,0,11,1,0,,,0,105,7,1,5,4,0,0,4,6,,4,8,fl oz,,,,,,,,,,,
034000246007,item_not_found,404
049000067316,item_not_found,404
049000030754,item_not_found,404
049000191622,item_not_found,404
012000001291,53f1f8b1fbe44fe916b92e04,"Pepsi Cola, 20oz",,51db37d0176fe9790a899d7f,Pepsi,,2020-08-18T07:07:34.000Z,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor.",,110,,0,,,,,,15,27,,27,0,,,0,0,,2.5,8,fl oz,,,,,,,,,,,
890026002573,52d6c923ba6709e35a007271,Traditional Hummus & Multiseed Crackers,,54a08bb72f60588806b50655,Go Picnic,,2017-01-21T07:02:59.000Z,"Wild Garden Hummus Dip: Chickpeas, Sesame Paste, Water, Sea Salt, Natural Spices, Citric Acid. Sweet Perry Orchards Baja Blend Fruit & Nut Mix: Habanera Almonds (Almonds, Sugar, Seasoning [Spices, Salt, Dehydrated Onion and Garlic, Chipotle Chili, Smoked Paprika, Citric Acid]), Sweet & Salty Peanuts (Peanuts, Sugar, Salt), Mango-Cranberries (Cranberries, Sugar, Glycerin, Citric Acid, Natural Mango Flavor & Other Natural Flavors, Sunflower Oil), Sweet Perry Orchards Power Play Tasty Seed Blend: Dry Roasted Edamame, Pumpkin Seeds (Pepitas), Watermelon Kernels, Vegetable Oil (Canola, Sunflower and/or Soybean), Salt, Maltodextrin. Crunchmaster Multi-Seed Crackers: Brown Rice Flour, Sesame Seeds, Potato Starch, Quinoa Seeds, Safflower Oil, Flax Seeds, Amaranth Seeds, Tamari Soy Sauce Powder (Tamari Soy Sauce [Soybeans, Salt], Maltodextrin [Corn], Salt), Salt. Professor Zim Zam's Extraordinary Sweets Dark Chocolate with Sea Salt: Dark Chocolate (Cocoa Liquor, Sugar, Cocoa Butter, Soy Lecithin [Emulsifier], Vanilla), Mediterranean Sea Salt.",,390,180,20,3.5,0,,,0,310,41,8,13,15,0,0,10,20,,1,1,box,114,,,,,,,,,,
782733000020,51d3762fcc9bff5553aa92bc,Madras Lentils,,51db37b5176fe9790a89889a,Tasty Bite,,2020-10-30T13:57:22.000Z,"Water, Tomatoes, Lentils, Red Beans, Onions, Cream, Salt, Butter, Sunflower Oil, Chilies, Cumin. Gluten free.",,140,54,6,3,0,,,10,460,17,6,4,6,,,4.62,6.67,,2,0.67,cup,140,,,,,,,,,,
